scheme_id,scheme_name,description,target_occupation,target_interest,area_type,benefit_type,eligibility,priority_score,start_date,end_date
SCH039,Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (PMJAY),Provides health cover of Rs. 5 lakhs per family per year for secondary and tertiary care hospitalization to poor and vulnerable workers. Benefits over 10 crore families nationwide.,Worker,health,All,Healthcare,For Worker participants; Focuses on poor,7,2023-01-01,2028-06-14
SCH042,Central Government Health Scheme (CGHS),Provides comprehensive healthcare facilities to central government employees and their dependents. Covers OPD Specialist Consultation and hospitalization through wellness centers.,Worker,health,All,Healthcare,For Worker participants; Focuses on st,7,2023-01-01,2028-12-31
SCH088,Sukanya Samriddhi Yojana (SSY),A savings scheme for girl children offering a high interest rate and tax benefits to build a corpus for education and marriage expenses. Parents can open accounts for daughters below 10 years.,Worker,finance,All,Training,"For Women participants; Focuses on sc, st",7,2023-01-01,2028-09-17
SCH028,Pradhan Mantri Suraksha Bima Yojana (PMSBY),Provides accidental death and disability insurance cover of Rs. 2 lakhs for a premium of Rs. 20 per year. Available to workers aged 18-70 with a bank account.,Worker,health,All,Healthcare,For Worker participants,7,2023-01-01,2028-05-31
SCH010,Skill India Mission,An umbrella programme to train over 40 crore youth in India across 40+ industry sectors by 2025. Focuses on vocational training and national skills certification.,Student,technology,All,Training,For Student participants; Focuses on st,9,2023-01-01,2028-12-31
SCH015,Recognition of Prior Learning (RPL) Scheme,Certifies informal skills of youth and workers through RPL assessment camps and bridge courses. Helps youth without formal credentials receive official skill certification.,Student,technology,All,Training,For Student participants,9,2023-01-01,2028-06-30
SCH016,Kaushal Unnayan Abhiyan,Enhances skills of youth in emerging sectors through certified courses and industry partnerships. Targets educated youth aged 18-30 seeking employment readiness.,Student,technology,All,Training,For Student participants; Focuses on st,9,2023-01-01,2027-11-12
SCH017,Apprenticeship Training Scheme (ATS) - MSDE,Mandates industries to train apprentices and provides a structured on-the-job training programme for youth in manufacturing sectors. Covers youth in 18-27 age group.,Student,technology,All,Training,For Student participants; Focuses on st,9,2023-01-01,2028-03-15
SCH018,Udaan Scheme (for J&K Youth),Provides training and corporate internship opportunities to youth from Jammu & Kashmir in mainstream companies. Benefits graduates and postgraduates aged 18-30.,Student,technology,All,Training,For Student participants; Focuses on st,9,2023-01-01,2027-09-15
SCH012,Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),Transforms rural poor youth into an economically independent workforce through residential skill training and placement. Targets youth aged 18-35 in rural areas.,Student,technology,Rural,Training,"For Student participants; Focuses on rural, poor",9,2023-01-01,2028-09-30
SCH013,Jan Shikshan Sansthan (JSS),Provides vocational and life skills training to school dropouts and rural youth through community-level institutes. Focuses on youth aged 18-35 who lack formal education.,Student,technology,Rural,Training,"For Student participants; Focuses on sc, rural, st",9,2023-01-01,2027-12-31
SCH019,National Skill Development Corporation (NSDC) Industry Partnerships,Partners with industry bodies to deliver sector-specific skill training aligned with job market demand. Covers youth aged 18-30 across urban and semi-urban areas.,Student,technology,Semi-Urban,Training,"For Student participants; Focuses on st, urban",9,2023-01-01,2028-11-30
SCH009,PM Kaushal Vikas Yojana 4.0 (PMKVY),Provides short-term skill training and certification in industry-relevant trades to youth aged 18-35. Offers stipend and placement support after course completion.,Student,technology,All,Subsidy,For Student participants; Focuses on st,9,2023-01-01,2028-03-31
SCH011,STRIVE (Skills Strengthening for Industrial Value Enhancement),Improves quality and market relevance of vocational training by supporting ITIs and apprenticeship programmes. Benefits college students and ITI trainees.,Student,technology,All,Subsidy,For Student participants; Focuses on st,9,2023-01-01,2027-03-31
SCH014,PM YUVA 2.0 (Pradhan Mantri Yuva Udyamita Vikas Abhiyan),Promotes entrepreneurship education and training for youth through mentorship and seed funding support. Targets students and young professionals aged 18-35.,Student,technology,All,Subsidy,For Student participants; Focuses on st,9,2023-01-01,2027-08-31
SCH104,Coding Initiative 104,"Supplemental scheme for coding interest, including new services and community programs.",Student,technology,All,Support,"For Student participants; Focuses on sc, st",9,2023-01-01,2030-12-31
SCH124,Coding Initiative 124,"Supplemental scheme for coding interest, including new services and community programs.",Student,technology,All,Support,"For Student participants; Focuses on sc, st",9,2023-01-01,2030-12-31
SCH164,Coding Initiative 164,"Supplemental scheme for coding interest, including new services and community programs.",Student,technology,All,Support,"For Student participants; Focuses on sc, st",9,2023-01-01,2030-12-31
SCH118,Technology Initiative 118,"Supplemental scheme for technology interest, including new services and community programs.",Student,technology,All,Support,"For Student participants; Focuses on sc, st",9,2023-01-01,2030-12-31
SCH138,Technology Initiative 138,"Supplemental scheme for technology interest, including new services and community programs.",Student,technology,All,Support,"For Student participants; Focuses on sc, st",9,2023-01-01,2030-12-31
SCH144,Coding Initiative 144,"Supplemental scheme for coding interest, including new services and community programs.",Student,technology,All,Support,"For Student participants; Focuses on sc, st",9,2023-01-01,2030-12-31
SCH158,Technology Initiative 158,"Supplemental scheme for technology interest, including new services and community programs.",Student,technology,All,Support,"For Student participants; Focuses on sc, st",9,2023-01-01,2030-12-31
SCH178,Technology Initiative 178,"Supplemental scheme for technology interest, including new services and community programs.",Student,technology,All,Support,"For Student participants; Focuses on sc, st",9,2023-01-01,2030-12-31
SCH184,Coding Initiative 184,"Supplemental scheme for coding interest, including new services and community programs.",Student,technology,All,Support,"For Student participants; Focuses on sc, st",9,2023-01-01,2030-12-31
SCH198,Technology Initiative 198,"Supplemental scheme for technology interest, including new services and community programs.",Student,technology,All,Support,"For Student participants; Focuses on sc, st",9,2023-01-01,2030-12-31
SCH020,Rashtriya Kishor Swasthya Karyakram (RKSK),Addresses health needs of adolescents and youth aged 18-24 including nutrition mental health and reproductive health. Provides health counseling at community health centers.,Student,health,All,Healthcare,For Student participants; Focuses on sc,8,2023-01-01,2027-12-31
SCH006,Entrepreneurship Development Programme (NSIC),Provides entrepreneurship training and mentorship to educated youth and graduates. Helps college students and fresh graduates start their own ventures.,Student,arts,All,Training,For Student participants; Focuses on st,8,2023-01-01,2027-11-30
SCH005,Stand Up India Scheme,Facilitates bank loans between Rs. 10 lakh to Rs. 1 crore for SC/ST and women entrepreneurs for setting up greenfield enterprises. Targets first-generation entrepreneurs.,Student,finance,All,Loan,"For Student participants; Focuses on sc, st, women",8,2023-01-01,2028-06-30
SCH002,Pradhan Mantri Rojgar Protsahan Yojana (PMRPY),Encourages employers to hire new workers by the government paying the EPF contribution for 3 years. Directly benefits first-time job seekers and youth entering the workforce.,Student,community,All,Job Opportunities,For Student participants; Focuses on st,8,2023-01-01,2027-07-31
SCH070,Agricultural Technology Management Agency (ATMA) Training,Provides technology dissemination and farmer training at district level through farmer field schools and exposure visits. Improves agricultural productivity through knowledge transfer.,Farmer,agriculture,All,Training,"For Farmer participants; Focuses on st, sc",10,2023-01-01,2028-01-31
SCH060,Pradhan Mantri Kisan MaanDhan Yojana (PM-KMY),A voluntary pension scheme for small and marginal farmers providing Rs 3000 per month pension after age 60. Covers farmers with land up to 2 hectares.,Farmer,agriculture,All,Pension,For Farmer participants; Includes age 60; Focuses on sc,9,2023-01-01,2028-10-31
SCH055,Soil Health Card Scheme,Provides soil health cards to farmers with crop-wise nutrient and fertilizer recommendations for each farm field. Leads to improved productivity through scientifically-guided farming.,Farmer,agriculture,All,Healthcare,For Farmer participants; Focuses on sc,9,2023-01-01,2027-12-31
SCH069,Agri-Clinics and Agri-Business Centres (ACABC) Scheme,Trains agriculture graduates to set up agri-clinics providing plant protection inputs and services to farmers. Creates self-employment for agriculture graduates as agri-entrepreneurs.,Farmer,agriculture,All,Healthcare,For Farmer participants,9,2023-01-01,2027-10-31
SCH115,Nature Initiative 115,"Supplemental scheme for nature interest, including new services and community programs.",Farmer,community,All,Support,"For Farmer participants; Focuses on sc, st",9,2023-01-01,2030-12-31
SCH048,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Provides income support of Rs 6000 per year in three installments directly to small and marginal farmer families. Benefits all land-holding farmers across India.,Farmer,agriculture,All,Subsidy,For Farmer participants; Focuses on st,9,2023-01-01,2027-11-05
SCH049,Pradhan Mantri Fasal Bima Yojana (PMFBY),Provides crop insurance coverage to farmers against loss due to natural calamities pests and diseases. Premiums are very low with government subsidizing the bulk of insurance cost.,Farmer,agriculture,All,Loan,For Farmer participants; Focuses on st,9,2023-01-01,2028-03-30
SCH050,Kisan Credit Card (KCC) Scheme,Provides flexible revolving credit for crop cultivation post-harvest expenses and allied activities at subsidized interest rates. Covers all agricultural operations throughout the crop cycle.,Farmer,agriculture,All,Loan,For Farmer participants; Focuses on st,9,2023-01-01,2028-02-28
SCH051,National Food Security Mission (NFSM),Aims to increase production of rice wheat pulses coarse cereals and commercial crops through area expansion and productivity enhancement. Provides seed subsidies and technical support.,Farmer,agriculture,All,Subsidy,For Farmer participants,9,2023-01-01,2027-07-14
SCH052,Paramparagat Krishi Vikas Yojana (PKVY),Promotes organic farming through cluster-based approach with financial assistance for organic certification and marketing. Covers 3-year cluster-based organic conversion of farming groups.,Farmer,agriculture,All,Subsidy,For Farmer participants; Focuses on st,9,2023-01-01,2027-10-10
SCH053,Agriculture Infrastructure Fund (AIF),Provides medium to long-term debt financing for post-harvest management infrastructure and community farming assets. Supports cold-chains processing units and farm-level logistics.,Farmer,agriculture,All,Subsidy,For Farmer participants; Focuses on st,9,2023-01-01,2028-06-28
SCH054,Rashtriya Krishi Vikas Yojana (RKVY-RAFTAAR),Provides investment support for agriculture and allied sector development with focus on agri-startups and agribusiness models. Strengthens farm infrastructure and agri-entrepreneurship.,Farmer,agriculture,All,Subsidy,For Farmer participants; Focuses on st,9,2023-01-01,2028-09-30
SCH056,National Horticulture Mission (NHM),Provides financial support for development of horticulture crops including fruits vegetables flowers and spices. Covers production protection and post-harvest management.,Farmer,agriculture,All,Subsidy,For Farmer participants; Focuses on st,9,2023-01-01,2028-03-31
SCH057,Market Intervention Scheme and Price Support Scheme (MIS-PSS),Provides price support to farmers to protect against distress sales of perishable horticultural and non-horticultural commodities. Government procures at declared price when market falls.,Farmer,agriculture,All,Subsidy,For Farmer participants; Focuses on st,9,2023-01-01,2027-09-30
SCH058,Annadata Sahayata Yojana,Provides financial aid and technical support to farmers for sustainable farming practices including subsidies for modern equipment and quality inputs. Covers small and marginal farmers.,Farmer,agriculture,All,Subsidy,For Farmer participants; Focuses on st,9,2023-01-01,2028-02-28
SCH059,National Mission on Oilseeds and Oil Palm (NMOOP),Provides assistance for increasing production of oilseeds and oil palm through area expansion and productivity improvement. Reduces dependence on imported edible oils.,Farmer,agriculture,All,Subsidy,For Farmer participants; Focuses on st,9,2023-01-01,2027-08-31
SCH061,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Aims to expand irrigated area and improve on-farm water use efficiency under the motto Har Khet Ko Pani and More Crop Per Drop. Covers canal drip and sprinkler irrigation works.,Farmer,agriculture,All,Job Opportunities,For Farmer participants,9,2023-01-01,2028-11-14
SCH062,Har Khet Ko Pani Component (PMKSY-HKKP),Focuses on creating new water sources and repairing existing ones to ensure irrigation water availability for every farm field. Covers groundwater and surface water development.,Farmer,agriculture,All,Support,For Farmer participants; Focuses on st,9,2023-01-01,2028-06-25
SCH063,Accelerated Irrigation Benefit Programme (AIBP),Provides central funding for rapid completion of ongoing major and medium irrigation projects to maximize irrigated area. Reduces regional irrigation gaps and water shortages.,Farmer,agriculture,All,Support,For Farmer participants,9,2023-01-01,2029-03-23
SCH064,Command Area Development and Water Management (CADWM),Improves water use efficiency and productivity in irrigated command areas through field channels and participatory irrigation management. Promotes equitable water distribution.,Farmer,agriculture,All,Support,For Farmer participants; Focuses on st,9,2023-01-01,2028-02-23
SCH065,Jal Shakti Abhiyan - Catch the Rain,A campaign for water conservation through rainwater harvesting renovation of traditional water bodies and afforestation in water-stressed districts. Benefits farming communities in water-scarce areas.,Farmer,agriculture,All,Support,"For Farmer participants; Focuses on st, sc",9,2023-01-01,2027-12-23
SCH066,Micro Irrigation Fund (MIF),Provides concessional loan assistance to state governments to expand drip and sprinkler irrigation adoption among farmers. Promotes precision water application and water conservation.,Farmer,agriculture,All,Loan,For Farmer participants; Focuses on st,9,2023-01-01,2028-07-09
SCH067,Per Drop More Crop (PDMC) Component - PMKSY,Provides micro-level interventions for better water use efficiency on-farm through drip and sprinkler systems and other water-saving interventions. Covers individual farmer-level installations.,Farmer,agriculture,All,Support,For Farmer participants; Focuses on st,9,2023-01-01,2027-11-30
SCH068,National Watershed Development Project for Rainfed Areas (NWDPRA),Develops watersheds in rainfed areas for effective rainwater harvesting soil and moisture conservation. Benefits farmers in drought-prone and rainfed districts across India.,Farmer,agriculture,All,Support,For Farmer participants; Focuses on st,9,2023-01-01,2028-04-30
SCH101,Agriculture Initiative 101,"Supplemental scheme for agriculture interest, including new services and community programs.",Farmer,agriculture,All,Support,"For Farmer participants; Focuses on sc, st",9,2023-01-01,2030-12-31
SCH081,National Programme for Health Care of the Elderly (NPHCE),Provides dedicated geriatric care services at district hospitals community health centers and PHCs for elderly aged 60+. Covers common diseases of old age like arthritis diabetes and cardiovascular conditions.,Senior Citizen,health,All,Pension,"For Senior participants; Focuses on st, sc",6,2023-01-01,2028-09-30
SCH072,Pradhan Mantri Vaya Vandana Yojana (PMVVY),Provides guaranteed pension income at an assured rate of 7.4% per annum to senior citizens aged 60 and above for 10 years. Protects elderly against a fall in interest income.,Senior Citizen,finance,All,Pension,For Senior participants; Focuses on st,6,2023-01-01,2028-03-31
SCH074,Varishtha Pension Bima Yojana (VPBY),Provides a guaranteed pension to senior citizens for a single lump sum payment based on their age and selected pension amount. Covers persons aged 60 and above.,Senior Citizen,finance,All,Pension,For Senior participants,6,2023-01-01,2027-12-31
SCH075,Annapurna Scheme,Provides 10 kg of free food grain per month to senior citizens aged 65 and above who are eligible for old age pension but have not yet received it. Addresses food security for destitute elderly.,Senior Citizen,finance,All,Pension,For Senior participants; Focuses on st,6,2023-01-01,2028-05-31
SCH082,Central Government Health Scheme (CGHS) for Pensioners,Provides comprehensive medical care to retired central government employees and their spouses through CGHS wellness centers and empaneled hospitals. Covers all specialist and inpatient treatments.,Senior Citizen,health,All,Pension,For Senior participants; Focuses on st,6,2023-01-01,2029-01-31
SCH078,Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP),Provides quality generic medicines at affordable prices through Jan Aushadhi Kendras to reduce out-of-pocket medical expenses. Particularly benefits senior citizens on long-term medications.,Senior Citizen,health,All,Healthcare,For Senior participants,6,2023-01-01,2027-11-26
SCH079,Ayushman Bharat PMJAY - Senior Citizens 70+,Provides health insurance coverage of Rs. 5 lakhs per year to all senior citizens aged 70 and above regardless of income. Covers hospitalization for chronic and acute illness treatment.,Senior Citizen,health,All,Healthcare,For Senior participants,6,2023-01-01,2029-03-31
SCH083,Pradhan Mantri Swasthya Suraksha Yojana (PMSSY),Improves availability of tertiary healthcare services in underserved states by establishing new AIIMS and upgrading government medical colleges. Benefits elderly in regions with poor specialist access.,Senior Citizen,health,All,Healthcare,"For Senior participants; Focuses on st, poor",6,2023-01-01,2028-03-31
SCH084,National Programme for Non-Communicable Diseases (NP-NCD) - Elderly Focus,Provides screening diagnosis and treatment for hypertension diabetes cancer and other NCDs through health and wellness centers. Specifically targets elderly aged 60+ for periodic screening.,Senior Citizen,health,All,Healthcare,For Senior participants; Focuses on sc,6,2023-01-01,2027-12-31
SCH112,Health Initiative 112,"Supplemental scheme for health interest, including new services and community programs.",Senior Citizen,health,All,Healthcare,"For Senior participants; Focuses on sc, st",6,2023-01-01,2030-12-31
SCH152,Health Initiative 152,"Supplemental scheme for health interest, including new services and community programs.",Senior Citizen,health,All,Healthcare,"For Senior participants; Focuses on sc, st",6,2023-01-01,2030-12-31
SCH132,Health Initiative 132,"Supplemental scheme for health interest, including new services and community programs.",Senior Citizen,health,All,Healthcare,"For Senior participants; Focuses on sc, st",6,2023-01-01,2030-12-31
SCH172,Health Initiative 172,"Supplemental scheme for health interest, including new services and community programs.",Senior Citizen,health,All,Healthcare,"For Senior participants; Focuses on sc, st",6,2023-01-01,2030-12-31
SCH192,Health Initiative 192,"Supplemental scheme for health interest, including new services and community programs.",Senior Citizen,health,All,Healthcare,"For Senior participants; Focuses on sc, st",6,2023-01-01,2030-12-31
SCH071,Indira Gandhi National Old Age Pension Scheme (IGNOAPS),Provides monthly pension of Rs 200 to Rs 500 to elderly persons aged 60 and above living below the poverty line. Supports destitute elderly without a means of livelihood.,Senior Citizen,finance,All,Subsidy,For Senior participants; Focuses on st,6,2023-01-01,2029-01-03
SCH073,Senior Citizens' Savings Scheme (SCSS),Provides regular quarterly income at a higher interest rate to senior citizens aged 60 and above through post offices and banks. Offers a safe investment option with government backing.,Senior Citizen,finance,All,Support,For Senior participants; Focuses on st,6,2023-01-01,2028-09-30
SCH076,National Social Assistance Programme (NSAP) - Old Age Support,Provides financial assistance to elderly widows and disabled individuals through multiple pension components under NSAP. Covers BPL elderly aged 60 and above with enhanced pension at 80+.,Senior Citizen,finance,All,Subsidy,"For Senior participants; Focuses on st, bpl",6,2023-01-01,2029-03-31
SCH077,Integrated Programme for Older Persons (IPOP),Supports NGOs to set up and maintain old age homes day care centers and mobile medicare units for elderly. Provides maintenance grants for elderly welfare infrastructure.,Senior Citizen,finance,All,Subsidy,For Senior participants; Focuses on st,6,2023-01-01,2027-10-31
SCH080,Rashtriya Vayoshri Yojana (RVY),Provides assisted-living devices such as walking sticks wheelchairs hearing aids and spectacles free to BPL senior citizens with age-related disabilities. Restores functional capability of elderly.,Senior Citizen,health,All,Support,"For Senior participants; Focuses on st, bpl",6,2023-01-01,2028-06-30
SCH085,Elder Line - National Helpline for Senior Citizens,Provides a toll-free helpline for elderly to seek help for emotional support legal advice pension issues and healthcare guidance. Addresses psychological and practical challenges of aging.,Senior Citizen,health,All,Subsidy,For Senior participants,6,2023-01-01,2028-08-31
SCH106,Community Service Initiative 106,"Supplemental scheme for community service interest, including new services and community programs.",Senior Citizen,community,All,Support,"For Senior participants; Focuses on sc, st",6,2023-01-01,2030-12-31
SCH108,Family Initiative 108,"Supplemental scheme for family interest, including new services and community programs.",Senior Citizen,community,All,Support,"For Senior participants; Focuses on sc, st",6,2023-01-01,2030-12-31
SCH120,Walking Initiative 120,"Supplemental scheme for walking interest, including new services and community programs.",Senior Citizen,health,All,Support,"For Senior participants; Focuses on sc, st",6,2023-01-01,2030-12-31
SCH125,Community Initiative 125,"Supplemental scheme for community interest, including new services and community programs.",Senior Citizen,community,All,Support,"For Senior participants; Focuses on sc, st",6,2023-01-01,2030-12-31
SCH126,Community Service Initiative 126,"Supplemental scheme for community service interest, including new services and community programs.",Senior Citizen,community,All,Support,"For Senior participants; Focuses on sc, st",6,2023-01-01,2030-12-31
